ros_time_s,Lecturas_Validas
1758472767.704614162,7.000000
1758472767.804432631,5.000000
1758472767.902928352,8.000000
1758472768.005219221,8.000000
1758472768.103532314,9.000000
1758472768.204396248,9.000000
1758472768.305835247,7.000000
1758472768.403627157,3.000000
1758472768.504919052,3.000000
1758472768.705249310,2.000000
1758472768.904867887,4.000000
1758472769.006687641,2.000000
1758472769.104283094,3.000000
1758472769.204263926,3.000000
1758472769.304473639,3.000000
1758472769.405238390,2.000000
1758472769.504966974,3.000000
1758472769.604388714,4.000000
1758472769.705934048,3.000000
1758472769.803947926,6.000000
1758472769.905598640,2.000000
1758472770.006551504,3.000000
1758472770.104850531,7.000000
1758472770.204985380,6.000000
1758472770.304282904,1.000000
1758472770.406315088,3.000000
1758472770.604352236,2.000000
1758472770.706768990,1.000000
1758472770.806867599,4.000000
1758472770.904926777,3.000000
1758472771.004471064,2.000000
1758472771.106886864,7.000000
1758472771.206329584,6.000000
1758472771.306306839,4.000000
1758472771.404231071,7.000000
1758472771.507263660,6.000000
1758472771.606602669,4.000000
1758472771.707001686,7.000000
1758472771.805784464,7.000000
1758472771.906129599,7.000000
1758472772.004217863,4.000000
1758472772.105311632,8.000000
1758472772.207125664,8.000000
1758472772.306901932,7.000000
1758472772.406634092,5.000000
1758472772.504933119,8.000000
1758472772.605480671,9.000000
1758472772.706912041,6.000000
1758472772.807581425,6.000000
1758472772.905907631,6.000000
1758472773.005353689,9.000000
1758472773.107000113,8.000000
1758472773.206748486,6.000000
1758472773.307019711,9.000000
1758472773.407732487,8.000000
1758472773.507058859,8.000000
1758472773.606319427,7.000000
1758472773.706153393,9.000000
1758472773.806789875,8.000000
1758472773.907450676,8.000000
1758472774.006860733,7.000000
1758472774.106999874,7.000000
1758472774.205611944,8.000000
1758472774.307028055,8.000000
1758472774.406970739,9.000000
1758472774.506311178,7.000000
1758472774.606909990,8.000000
1758472774.706317663,8.000000
1758472774.806604147,5.000000
1758472774.907691717,9.000000
1758472775.004618645,8.000000
1758472775.105752468,5.000000
1758472775.206771612,7.000000
1758472775.306278706,2.000000
1758472775.405643940,3.000000
1758472775.508934498,3.000000
1758472775.606948376,7.000000
1758472775.707517147,8.000000
1758472775.806369781,7.000000
1758472775.906152248,7.000000
1758472776.007466316,7.000000
1758472776.106721163,6.000000
1758472776.207817316,3.000000
1758472776.305914164,8.000000
1758472776.408479929,3.000000
1758472776.507768393,2.000000
1758472776.606294155,3.000000
1758472776.706638813,8.000000
1758472776.807376146,6.000000
1758472776.906651974,6.000000
1758472777.005758286,4.000000
1758472777.107115507,4.000000
1758472777.206607342,8.000000
1758472777.306509972,8.000000
1758472777.405872107,7.000000
1758472777.505425453,8.000000
1758472777.606453419,8.000000
1758472777.706671953,7.000000
1758472777.806100368,8.000000
1758472777.905620813,7.000000
1758472778.005921125,8.000000
1758472778.106686115,5.000000
1758472778.206786633,3.000000
1758472778.306438446,3.000000
1758472778.406851530,4.000000
1758472778.505786180,5.000000
1758472778.606687069,5.000000
1758472778.706708670,8.000000
1758472778.806566715,3.000000
1758472778.906854391,4.000000
1758472779.006593943,4.000000
1758472779.107040882,1.000000
1758472779.203520775,2.000000
1758472779.306770086,7.000000
1758472779.505492926,2.000000
1758472779.606720448,6.000000
1758472779.706470251,2.000000
1758472779.806785107,7.000000
1758472779.905903339,7.000000
1758472780.007809162,6.000000
1758472780.105759382,2.000000
1758472780.207782745,7.000000
1758472780.307844639,8.000000
1758472780.407830954,7.000000
1758472780.506185532,3.000000
1758472780.604961634,5.000000
1758472780.708926201,8.000000
1758472780.806889534,1.000000
1758472780.906030416,8.000000
1758472781.005984545,7.000000
1758472781.102910042,7.000000
1758472781.206600904,7.000000
1758472781.305495977,7.000000
1758472781.406587124,6.000000
1758472781.506647110,6.000000
1758472781.605473518,7.000000
1758472781.705535173,8.000000
1758472781.805471897,7.000000
1758472781.905794859,6.000000
1758472782.005926371,6.000000
1758472782.108191967,4.000000
1758472782.206273079,7.000000
1758472782.307993650,7.000000
1758472782.408049822,6.000000
1758472782.505712032,7.000000
1758472782.604858637,8.000000
1758472782.706809759,8.000000
1758472782.806618452,7.000000
1758472782.907295704,4.000000
1758472783.007385015,7.000000
1758472783.105580091,7.000000
1758472783.205560684,7.000000
1758472783.306455851,6.000000
1758472783.405474186,7.000000
1758472783.507001162,5.000000
1758472783.603917360,6.000000
1758472783.705406904,6.000000
1758472783.808428526,4.000000
1758472783.908176661,4.000000
1758472784.005549908,6.000000
1758472784.104771852,4.000000
1758472784.205489874,7.000000
1758472784.305368662,8.000000
1758472784.406304598,7.000000
1758472784.507967234,8.000000
1758472784.604707241,7.000000
1758472784.706206322,7.000000
1758472784.806597233,8.000000
1758472784.908212900,8.000000
1758472785.006925106,9.000000
1758472785.105502605,7.000000
1758472785.208317518,7.000000
1758472785.306382179,9.000000
1758472785.406697989,6.000000
1758472785.508245945,9.000000
1758472785.605963469,4.000000
1758472785.706260681,5.000000
1758472785.805683374,8.000000
1758472785.906106949,1.000000
1758472786.006292343,7.000000
1758472786.105786324,9.000000
1758472786.207304955,9.000000
1758472786.306262255,6.000000
1758472786.407766581,4.000000
1758472786.503911018,9.000000
1758472786.605738401,6.000000
1758472786.706121922,6.000000
1758472786.807914734,9.000000
1758472786.906894922,2.000000
1758472787.006487370,3.000000
1758472787.108550072,8.000000
1758472787.207791567,5.000000
1758472787.307919264,6.000000
1758472787.406682968,6.000000
1758472787.508003473,6.000000
1758472787.605997086,5.000000
1758472787.706214190,6.000000
1758472787.906878710,4.000000
1758472788.006062746,6.000000
1758472788.104539633,7.000000
1758472788.204226017,5.000000
1758472788.308430195,1.000000
1758472788.406955719,4.000000
1758472788.506373882,1.000000
1758472788.605490208,1.000000
1758472788.706349373,1.000000
1758472788.806943655,1.000000
1758472788.906594038,3.000000
1758472789.005487680,1.000000
1758472789.104406595,1.000000
1758472789.205415487,1.000000
1758472789.304429054,1.000000
1758472789.505839109,1.000000
1758472789.606840611,2.000000
1758472789.707347870,1.000000
1758472789.806297302,1.000000
1758472789.905489445,1.000000
1758472790.005626678,2.000000
1758472790.104274273,2.000000
1758472790.206138134,2.000000
1758472790.306873798,1.000000
1758472790.405684471,2.000000
1758472790.504274130,2.000000
1758472790.607864857,2.000000
1758472790.706290960,1.000000
1758472790.808061838,1.000000
1758472790.907830000,2.000000
1758472791.005884647,1.000000
1758472791.107491493,1.000000
1758472791.203891039,1.000000
1758472791.303434610,2.000000
1758472791.406037331,2.000000
1758472791.503808975,1.000000
1758472791.603792906,1.000000
1758472791.706886053,1.000000
1758472791.806814194,1.000000
1758472791.903148174,1.000000
1758472792.004158258,2.000000
1758472792.103899956,2.000000
1758472792.206234455,2.000000
1758472792.305979729,1.000000
1758472792.404150724,1.000000
1758472792.502740145,2.000000
1758472792.606587648,2.000000
1758472792.705811024,1.000000
1758472792.804485321,1.000000
1758472792.906729460,1.000000
1758472793.007230520,1.000000
1758472793.105760574,2.000000
1758472793.202979088,2.000000
1758472793.305843830,1.000000
1758472793.406627893,1.000000
1758472793.503586769,2.000000
1758472793.604650974,1.000000
1758472793.705754042,1.000000
1758472793.806913376,1.000000
1758472793.907472849,1.000000
1758472794.005123615,1.000000
1758472794.204507113,1.000000
1758472794.306820869,1.000000
1758472794.405861616,1.000000
1758472794.502554417,1.000000
1758472794.603361845,2.000000
1758472794.706747055,2.000000
1758472794.805269718,2.000000
1758472794.906544685,1.000000
1758472795.002894640,1.000000
1758472795.102380991,1.000000
1758472795.203469276,2.000000
1758472795.402930260,1.000000
1758472795.503387928,2.000000
1758472795.604718924,2.000000
1758472795.706026793,1.000000
1758472795.804159641,1.000000
1758472795.904480696,2.000000
1758472796.002746344,2.000000
1758472796.103398085,2.000000
1758472796.303382635,1.000000
1758472796.402723789,2.000000
1758472796.502308607,2.000000
1758472796.601998091,1.000000
1758472796.703395844,1.000000
1758472796.804724455,2.000000
1758472796.905060530,2.000000
1758472797.102654457,1.000000
1758472797.204806566,2.000000
1758472797.302700758,3.000000
1758472797.404278517,1.000000
1758472797.503127813,1.000000
1758472797.602190495,2.000000
1758472797.702330112,3.000000
1758472797.803270578,2.000000
1758472797.902841330,1.000000
1758472798.102953911,2.000000
1758472798.402845860,1.000000
1758472798.502188444,1.000000
1758472798.601873398,3.000000
1758472798.703914642,1.000000
1758472798.802018166,1.000000
1758472798.903019428,2.000000
1758472799.003151655,3.000000
1758472799.102833509,5.000000
1758472799.203130484,4.000000
1758472799.403102636,2.000000
1758472799.502572298,1.000000
1758472799.601606369,2.000000
1758472799.700582504,1.000000
1758472799.801722288,2.000000
1758472799.902179480,1.000000
1758472800.203460455,1.000000
1758472800.300743341,2.000000
1758472800.401710033,1.000000
1758472800.502157211,2.000000
1758472800.602768660,1.000000
1758472800.700766325,1.000000
1758472800.801919937,1.000000
1758472800.900617123,1.000000
1758472801.001024485,1.000000
1758472801.103912592,2.000000
1758472801.202646732,1.000000
1758472801.402851582,3.000000
1758472801.502521753,1.000000
1758472801.700429201,1.000000
1758472801.803777218,1.000000
1758472802.000421286,1.000000
1758472802.103772402,1.000000
1758472802.300845623,1.000000
1758472802.400513172,1.000000
1758472802.501201391,1.000000
1758472802.600548029,1.000000
1758472802.800478220,1.000000
1758472803.103376389,1.000000
1758472803.201781511,1.000000
1758472803.502254009,1.000000
1758472803.701166630,1.000000
1758472803.801187754,2.000000
1758472803.902287722,2.000000
1758472804.000625134,2.000000
1758472804.201979637,1.000000
1758472804.303106308,1.000000
1758472804.402597904,1.000000
1758472804.502331495,1.000000
1758472804.602302551,1.000000
1758472804.801815748,1.000000
1758472804.900612593,1.000000
1758472805.102735519,1.000000
1758472805.202369452,1.000000
