ros_time_s,Error_Distancia
1757190679.842498779,0.007786
1757190679.945145607,0.006852
1757190680.042418957,0.006868
1757190680.144969463,0.006188
1757190680.246461630,0.005989
1757190680.348420143,0.004812
1757190680.446364164,0.005145
1757190680.546943188,0.004670
1757190680.645817518,0.004649
1757190680.747666836,0.003974
1757190680.845844269,0.004468
1757190680.947116613,0.002977
1757190681.045356274,0.002551
1757190681.147414446,0.002286
1757190681.248284578,0.002211
1757190681.348010778,0.001957
1757190681.449204683,0.001481
1757190681.547268629,0.001388
1757190681.650521040,-0.000001
1757190681.751205206,-0.000033
1757190681.847436190,0.000299
1757190681.949815512,-0.000310
1757190682.049330711,-0.000711
1757190682.149931669,-0.000992
1757190682.245623589,-0.001842
1757190682.346313715,-0.001921
1757190682.448082685,-0.001481
1757190682.548131943,-0.001457
1757190682.647952318,-0.001584
1757190682.747900486,-0.000601
1757190682.848162889,0.000138
1757190682.950768948,0.000561
1757190683.047583580,0.000109
1757190683.150322199,0.001385
1757190683.247993708,0.000745
1757190683.348997355,0.001109
1757190683.450331926,-0.000503
1757190683.545651197,-0.002140
1757190683.646703005,-0.003946
1757190683.744134426,-0.005503
1757190683.842070580,-0.006530
1757190683.940865517,-0.007771
1757190684.041761637,-0.007827
1757190684.140650272,-0.008201
1757190684.241015196,-0.007499
1757190684.341916561,-0.006009
1757190684.439903975,-0.007071
1757190684.541321516,-0.007870
1757190684.640328646,-0.009385
1757190684.739356518,-0.009589
1757190684.839023113,-0.009347
1757190684.939295530,-0.009514
1757190685.041723967,-0.009072
1757190685.137968063,-0.009116
1757190685.240936995,-0.008179
1757190685.340845823,-0.008353
1757190685.439550400,-0.007934
1757190685.514396429,-0.008122
1757190685.640689611,-0.007908
1757190685.752487898,-0.007529
1757190685.841735125,-0.004540
1757190685.940774441,-0.006532
1757190686.041898012,-0.006965
1757190686.144760132,-0.005945
1757190686.243807554,-0.005531
1757190686.339645624,-0.006061
1757190686.444312334,-0.005032
1757190686.544694424,-0.003825
1757190686.644343853,-0.003475
1757190686.744540691,-0.003340
1757190686.844396591,-0.002329
