ros_time_s,Vel_Des
1757191750.491793633,"1.81,1.93"
1757191750.591351032,"1.68,1.92"
1757191750.692850113,"1.91,1.93"
1757191750.791125536,"1.83,1.93"
1757191750.893591404,"1.83,1.93"
1757191750.991311312,"1.59,1.93"
1757191751.092281103,"1.87,1.93"
1757191751.193583727,"1.88,1.93"
1757191751.290106773,"1.25,1.93"
1757191751.391418695,"1.75,1.93"
1757191751.489756823,"1.20,1.93"
1757191751.591514587,"1.56,1.93"
1757191751.692584276,"1.68,1.92"
1757191751.786634684,"0.68,2.01"
1757191751.894618988,"1.31,1.93"
1757191751.990047455,"1.09,1.93"
1757191752.089510202,"1.29,1.93"
1757191752.194459438,"1.78,1.93"
1757191752.293325901,"1.12,1.93"
1757191752.393043995,"1.29,1.93"
1757191752.492899656,"1.34,1.93"
1757191752.589681625,"1.12,1.93"
1757191752.688385487,"0.79,1.93"
1757191752.792319298,"0.96,1.93"
1757191752.889941931,"1.17,1.93"
1757191752.992877722,"1.42,1.93"
1757191753.085727692,"0.69,2.07"
1757191753.187678814,"1.52,1.93"
1757191753.291725159,"1.80,1.93"
1757191753.393357515,"1.81,1.93"
1757191753.490608692,"1.80,1.93"
1757191753.593078375,"1.71,1.92"
1757191753.690777302,"1.67,1.92"
1757191753.793593645,"1.69,1.92"
1757191753.888586283,"1.65,1.92"
1757191753.992248535,"1.87,1.93"
1757191754.093729496,"1.93,1.83"
1757191754.196576357,"1.93,1.84"
1757191754.289785147,"1.63,1.92"
1757191754.389266729,"1.93,1.34"
1757191754.487994432,"1.97,0.67"
1757191754.590546608,"1.78,1.93"
1757191754.689352751,"1.92,1.69"
1757191754.785849810,"2.16,0.68"
1757191754.890382051,"1.93,1.76"
1757191754.989029884,"1.96,0.67"
1757191755.083945751,"2.12,0.68"
1757191755.186022758,"2.14,0.68"
1757191755.281676292,"2.83,0.67"
1757191755.386487484,"2.83,0.67"
1757191755.486538172,"2.21,0.67"
1757191755.584671974,"2.06,0.69"
1757191755.688107967,"1.99,0.68"
1757191755.782767296,"2.35,0.67"
1757191755.887446880,"0.00,2.00"
1757191755.889946699,"2.10,0.69"
1757191755.985323668,"0.00,2.00"
1757191755.987978697,"2.83,0.67"
1757191756.085218191,"0.00,2.00"
1757191756.087744951,"2.10,0.69"
1757191756.185986757,"2.83,0.67"
1757191756.286028862,"2.24,0.67"
1757191756.390843868,"1.93,1.23"
1757191756.489523888,"1.92,1.68"
1757191756.586926699,"2.02,0.68"
1757191756.689089537,"0.00,2.00"
1757191756.691803932,"2.07,0.69"
1757191756.789208412,"0.00,2.00"
1757191756.791754961,"1.96,0.67"
1757191756.889138460,"0.00,2.00"
1757191756.891739845,"1.97,0.67"
1757191756.993109941,"1.93,1.36"
1757191757.090393782,"1.94,0.67"
1757191757.190815926,"1.93,0.89"
1757191757.285306215,"2.03,0.69"
1757191757.388501644,"1.92,1.67"
1757191757.493646145,"0.00,2.00"
1757191757.497705698,"1.93,1.73"
1757191757.592452288,"0.00,2.00"
1757191757.595696688,"1.93,1.83"
1757191757.690280914,"1.93,1.44"
1757191757.788994789,"1.93,1.80"
1757191757.892247438,"1.89,1.93"
1757191757.995843410,"1.86,1.93"
1757191758.093683243,"1.92,1.70"
1757191758.193129063,"1.93,1.73"
1757191758.286119223,"1.93,1.46"
1757191758.394032955,"1.93,1.88"
1757191758.492708206,"1.93,1.61"
1757191758.593510389,"1.93,1.84"
1757191758.693655968,"1.93,1.78"
1757191758.792578220,"1.71,1.92"
1757191758.894527435,"1.93,1.92"
1757191758.994880676,"1.93,1.88"
1757191759.091952324,"1.93,1.79"
1757191759.191959381,"1.81,1.93"
1757191759.288154602,"0.67,1.96"
1757191759.390566111,"1.37,1.93"
1757191759.492967844,"1.15,1.93"
1757191759.592468262,"0.93,1.93"
1757191759.687391520,"0.67,1.97"
1757191759.792260408,"1.26,1.93"
1757191759.887755632,"0.68,2.02"
1757191759.990130186,"0.67,1.96"
1757191760.093663216,"1.86,1.93"
1757191760.189029455,"0.67,1.93"
1757191760.289712906,"0.67,1.95"
1757191760.388802528,"0.67,1.94"
1757191760.492532492,"1.68,1.92"
1757191760.589131355,"0.67,1.95"
1757191760.693006754,"0.67,1.93"
1757191760.790829420,"1.71,1.92"
1757191760.890371084,"0.67,1.94"
1757191761.002409220,"1.60,1.93"
1757191761.093083858,"1.32,1.93"
1757191761.193148136,"1.40,1.93"
1757191761.291602850,"1.56,1.93"
1757191761.394731045,"1.93,1.88"
1757191761.492986202,"1.59,1.93"
1757191761.591820717,"1.69,1.92"
1757191761.694898844,"1.93,1.89"
1757191761.795763016,"1.93,1.86"
1757191761.891667366,"1.73,1.93"
1757191761.994596720,"1.80,1.93"
1757191762.092743874,"1.82,1.93"
1757191762.194558859,"1.93,1.91"
1757191762.296422482,"1.93,1.86"
1757191762.394768953,"1.93,1.82"
1757191762.495913744,"1.93,1.84"
1757191762.592851400,"1.93,1.61"
1757191762.687917471,"1.93,1.33"
1757191762.789991140,"1.97,0.67"
1757191762.892410517,"1.93,1.39"
1757191762.992922068,"1.92,1.68"
1757191763.086099625,"2.47,0.67"
1757191763.188075781,"2.83,0.67"
1757191763.284906387,"2.83,0.67"
1757191763.386709452,"2.83,0.67"
1757191763.489438057,"2.83,0.67"
1757191763.584840536,"2.83,0.67"
1757191763.684727192,"2.83,0.67"
1757191763.785439253,"2.83,0.67"
1757191763.886667013,"2.83,0.67"
1757191763.988521099,"2.83,0.67"
1757191764.086099863,"2.83,0.67"
1757191764.184566259,"0.00,2.00"
1757191764.187121391,"2.83,0.67"
1757191764.289490700,"0.00,2.00"
1757191764.292040110,"2.00,0.68"
1757191764.390590191,"0.00,2.00"
1757191764.393256187,"1.97,0.67"
1757191764.488341093,"0.00,2.00"
1757191764.490819693,"2.22,0.67"
1757191764.588654280,"2.79,0.67"
1757191764.688043356,"2.21,0.67"
1757191764.789063692,"2.83,0.67"
1757191764.888434649,"2.83,0.67"
1757191764.988909483,"0.00,2.00"
1757191764.991661310,"1.93,1.30"
1757191765.086990118,"0.00,2.00"
1757191765.089555264,"1.99,0.68"
1757191765.192322969,"0.00,2.00"
1757191765.194859743,"1.93,1.42"
1757191765.293541431,"1.93,1.57"
1757191765.388201714,"2.07,0.69"
1757191765.491931438,"1.93,1.60"
1757191765.592478752,"1.93,1.04"
1757191765.693523645,"1.93,1.75"
1757191765.795217752,"0.00,2.00"
1757191765.797783136,"1.93,1.07"
1757191765.891839266,"0.00,2.00"
1757191765.894411087,"1.92,1.71"
1757191765.992416859,"1.93,1.46"
1757191766.092894316,"1.93,1.44"
1757191766.195082903,"1.93,1.41"
1757191766.294623852,"1.94,0.67"
1757191766.393887281,"1.93,1.41"
1757191766.487523317,"0.00,2.00"
1757191766.490044117,"1.93,1.47"
1757191766.593884230,"0.00,2.00"
1757191766.596651793,"1.93,1.38"
1757191766.695817471,"1.93,1.88"
1757191766.793796062,"1.93,1.81"
1757191766.896925688,"1.93,1.91"
1757191766.996707916,"1.92,1.93"
1757191767.096343279,"1.93,1.80"
1757191767.196600914,"1.93,1.80"
1757191767.294325590,"1.67,1.92"
1757191767.394625187,"1.92,1.71"
