ros_time_s,Vel_Des
1757275176.157255650,"1.92,1.93"
1757275176.257119894,"1.93,1.76"
1757275176.358504534,"1.93,0.73"
1757275176.456145525,"1.93,1.74"
1757275176.557461977,"1.94,0.67"
1757275176.652579784,"1.98,0.67"
1757275176.758010864,"1.94,0.67"
1757275176.856852531,"1.93,1.57"
1757275176.959953308,"1.93,1.81"
1757275177.057328224,"1.93,1.87"
1757275177.158218145,"1.93,1.75"
1757275177.259281158,"1.93,1.80"
1757275177.360330582,"1.93,1.91"
1757275177.451771736,"1.92,1.69"
1757275177.554904222,"1.92,1.65"
1757275177.656066895,"1.93,1.74"
1757275177.748730183,"0.67,2.83"
1757275177.857305765,"1.72,1.92"
1757275177.957646847,"1.93,1.81"
1757275178.057983637,"1.93,1.80"
1757275178.156091452,"1.92,1.69"
1757275178.256237030,"1.93,1.82"
1757275178.356052399,"1.79,1.93"
1757275178.457572460,"1.93,1.50"
1757275178.555845022,"1.96,0.67"
1757275178.655852079,"1.93,1.53"
1757275178.754918337,"1.93,1.57"
1757275178.857112646,"1.93,1.86"
1757275178.954883814,"1.97,0.67"
1757275179.054031372,"1.92,1.63"
1757275179.158146143,"1.93,1.18"
1757275179.254424810,"0.67,1.95"
1757275179.356189251,"1.84,1.93"
1757275179.456819296,"1.93,1.81"
1757275179.552375317,"0.67,2.28"
1757275179.659979820,"1.79,1.93"
1757275179.758178711,"1.93,1.86"
1757275179.857089996,"1.93,1.78"
1757275179.956378222,"1.81,1.93"
1757275180.058729410,"1.76,1.93"
1757275180.158901453,"1.68,1.92"
1757275180.258305073,"1.84,1.93"
1757275180.355414391,"1.93,1.75"
1757275180.455137014,"1.93,1.75"
1757275180.549881697,"1.93,1.62"
1757275180.660790443,"1.93,1.85"
1757275180.758835316,"1.88,1.93"
1757275180.856275558,"1.93,0.97"
1757275180.950821161,"0.67,1.95"
1757275181.058156490,"1.38,1.93"
1757275181.148334503,"0.67,2.83"
1757275181.247722387,"0.67,2.83"
1757275181.348671913,"0.67,2.83"
1757275181.457481146,"1.93,1.14"
1757275181.555747032,"1.76,1.93"
1757275181.654110670,"1.32,1.93"
1757275181.752889156,"1.33,1.93"
1757275181.850920439,"2.00,0.68"
1757275181.951468945,"1.98,0.68"
1757275182.051839113,"2.08,0.69"
1757275182.151086569,"2.09,0.69"
1757275182.254379511,"1.93,1.33"
1757275182.329285145,"1.93,1.44"
1757275182.450991869,"2.05,0.69"
1757275182.554780722,"1.44,1.93"
1757275182.656672239,"1.94,0.67"
1757275182.757390022,"1.82,1.93"
1757275182.855266571,"1.93,1.49"
1757275182.956184864,"1.93,1.45"
1757275183.053689718,"1.93,1.38"
1757275183.155761957,"1.93,1.78"
1757275183.255914688,"1.93,1.83"
1757275183.354565620,"1.92,1.71"
1757275183.455860138,"0.69,1.93"
1757275183.555641413,"1.26,1.93"
1757275183.651818037,"0.67,1.95"
1757275183.752694845,"0.67,1.95"
1757275183.853493929,"0.67,1.95"
1757275183.955183506,"1.59,1.93"
1757275184.053957939,"1.66,1.92"
1757275184.154039383,"1.93,1.62"
1757275184.254003525,"1.93,1.60"
1757275184.354201317,"1.61,1.93"
1757275184.453666925,"1.39,1.93"
1757275184.554058552,"1.49,1.93"
1757275184.656191826,"1.93,1.84"
1757275184.755395412,"1.90,1.93"
1757275184.852825880,"1.23,1.93"
1757275184.955638170,"1.86,1.93"
1757275185.055705547,"1.87,1.93"
1757275185.152928591,"1.71,1.92"
1757275185.254150152,"1.93,1.84"
1757275185.354890585,"1.87,1.93"
1757275185.453753948,"1.50,1.93"
1757275185.554282904,"1.50,1.93"
1757275185.654678822,"1.93,1.20"
1757275185.755924463,"1.93,1.82"
1757275185.854682446,"1.93,1.83"
1757275185.955854893,"1.93,1.81"
1757275186.054033995,"1.93,1.74"
1757275186.154284239,"1.93,1.76"
1757275186.254092216,"1.93,1.74"
1757275186.355346680,"1.81,1.93"
1757275186.455073118,"1.84,1.93"
1757275186.554644585,"1.70,1.92"
1757275186.655246496,"1.40,1.93"
1757275186.756767988,"1.93,1.85"
1757275186.846394777,"0.67,2.83"
1757275186.954822540,"1.92,1.65"
1757275187.054641247,"1.92,1.66"
1757275187.156171799,"1.93,1.86"
1757275187.253529787,"1.93,1.07"
1757275187.354932308,"1.92,1.65"
1757275187.455018282,"1.93,1.79"
1757275187.555219889,"1.81,1.93"
1757275187.647308350,"0.67,1.94"
1757275187.755294800,"1.93,1.92"
1757275187.854165316,"1.87,1.93"
1757275187.956986189,"1.68,1.92"
1757275188.054182291,"1.66,1.92"
1757275188.153812647,"1.93,1.56"
1757275188.253903151,"1.93,1.49"
1757275188.353976011,"1.93,1.45"
1757275188.452530861,"1.93,1.48"
1757275188.555375338,"1.93,1.83"
1757275188.657040358,"1.93,1.78"
1757275188.752740145,"1.92,1.71"
1757275188.857534885,"1.92,1.69"
1757275188.953917027,"1.62,1.93"
1757275189.051198244,"1.64,1.92"
1757275189.154585600,"1.93,1.50"
1757275189.252102613,"1.90,1.93"
1757275189.356157303,"1.93,1.84"
1757275189.456171751,"1.93,1.82"
1757275189.555011749,"1.93,1.88"
1757275189.655769110,"1.93,1.82"
1757275189.748899221,"1.93,1.74"
1757275189.857974052,"1.81,1.93"
1757275189.951361418,"1.91,1.93"
1757275190.052395582,"1.88,1.93"
1757275190.149481058,"1.92,1.66"
1757275190.250342607,"1.94,0.67"
1757275190.349565744,"2.12,0.68"
1757275190.452491999,"1.93,1.78"
1757275190.550088167,"1.93,1.79"
1757275190.651052237,"1.93,1.48"
1757275190.750571728,"1.92,1.67"
1757275190.846123934,"1.97,0.67"
1757275190.950822830,"1.96,0.67"
1757275191.047976017,"2.08,0.69"
1757275191.146488667,"2.22,0.67"
1757275191.245494366,"2.14,0.68"
1757275191.347365856,"2.05,0.69"
1757275191.446445942,"2.35,0.67"
1757275191.546773672,"1.98,0.67"
1757275191.646291971,"2.83,0.67"
1757275191.746350288,"2.36,0.67"
1757275191.846759081,"2.47,0.67"
1757275191.946853876,"2.83,0.67"
1757275192.053398609,"1.96,0.67"
1757275192.146829367,"2.83,0.67"
1757275192.244929075,"2.83,0.67"
1757275192.346168041,"2.83,0.67"
1757275192.445177317,"2.83,0.67"
1757275192.544953585,"2.83,0.67"
1757275192.644183874,"2.83,0.67"
1757275192.746400118,"2.83,0.67"
1757275192.847118855,"2.15,0.68"
1757275192.947976351,"2.83,0.67"
1757275193.044424295,"2.83,0.67"
1757275193.149786949,"2.83,0.67"
1757275193.245300293,"2.83,0.67"
1757275193.345189571,"0.00,2.00"
1757275193.347941637,"2.83,0.67"
1757275193.446696758,"0.00,2.00"
1757275193.449388742,"2.83,0.67"
1757275193.548973322,"0.00,2.00"
1757275193.551632643,"2.00,0.68"
1757275193.647868156,"0.00,2.00"
1757275193.650554419,"2.83,0.67"
1757275193.746761560,"0.00,2.00"
1757275193.749421597,"2.83,0.67"
1757275193.849298954,"0.00,2.00"
1757275193.851969242,"2.83,0.67"
1757275193.948992491,"2.23,0.67"
1757275194.049433708,"2.05,0.69"
1757275194.151125431,"2.57,0.67"
1757275194.249032736,"2.71,0.67"
1757275194.348679781,"2.22,0.67"
1757275194.448461533,"2.01,0.68"
1757275194.549042702,"0.00,2.00"
1757275194.551564217,"2.10,0.69"
1757275194.651485682,"0.00,2.00"
1757275194.654171944,"2.04,0.69"
1757275194.752957344,"0.00,2.00"
1757275194.755708694,"1.92,1.64"
1757275194.850017071,"0.00,2.00"
1757275194.852712154,"2.00,0.68"
1757275194.949486494,"2.03,0.69"
1757275195.048788786,"2.04,0.69"
1757275195.149941444,"2.02,0.68"
