ros_time_s,Vel_Des
1757276426.365795851,"1.93,1.84"
1757276426.466302156,"1.84,1.93"
1757276426.565471411,"1.96,0.67"
1757276426.658712149,"0.67,2.83"
1757276426.757383823,"2.00,0.00"
1757276426.864711285,"1.95,0.67"
1757276426.958686113,"2.83,0.67"
1757276427.066882610,"1.83,1.93"
1757276427.157771587,"0.67,2.83"
1757276427.261425257,"2.12,0.68"
1757276427.361244917,"2.11,0.68"
1757276427.463083029,"0.67,1.96"
1757276427.564848423,"1.94,0.67"
1757276427.658966780,"2.83,0.67"
1757276427.758787155,"0.67,2.83"
1757276427.858807325,"2.83,0.67"
1757276427.960056782,"0.67,2.83"
1757276428.058433533,"2.83,0.67"
1757276428.159140587,"0.67,2.83"
1757276428.264921427,"1.71,1.92"
1757276428.359848499,"2.83,0.67"
1757276428.460345745,"2.83,0.67"
1757276428.563933611,"1.93,1.50"
1757276428.658097744,"2.83,0.67"
1757276428.764926910,"1.26,1.93"
1757276428.863152742,"1.71,1.92"
1757276428.958993673,"2.83,0.67"
1757276429.065767050,"1.92,1.69"
1757276429.159187555,"2.83,0.67"
1757276429.265676498,"2.83,0.67"
1757276429.358086586,"2.83,0.67"
1757276429.459343672,"2.83,0.67"
1757276429.563196898,"1.95,0.67"
1757276429.659075022,"2.83,0.67"
1757276429.756999731,"2.83,0.67"
1757276429.860153437,"2.83,0.67"
1757276429.957238674,"2.83,0.67"
1757276430.059335709,"2.83,0.67"
1757276430.159807682,"2.83,0.67"
1757276430.259255886,"2.83,0.67"
1757276430.359772205,"2.83,0.67"
1757276430.458995104,"2.83,0.67"
1757276430.562090397,"2.15,0.68"
1757276430.659264088,"2.83,0.67"
1757276430.758634329,"2.83,0.67"
1757276430.859817505,"2.83,0.67"
1757276430.958265543,"2.83,0.67"
1757276431.065934181,"1.93,1.62"
1757276431.156624079,"0.00,2.00"
1757276431.159137964,"2.83,0.67"
1757276431.258650064,"0.00,2.00"
1757276431.261196136,"2.83,0.67"
1757276431.366026402,"1.95,0.67"
1757276431.464104891,"1.60,1.93"
1757276431.564561129,"1.93,1.85"
1757276431.662015676,"2.16,0.68"
1757276431.762265921,"0.69,2.09"
1757276431.859518766,"0.00,2.00"
1757276431.862247229,"0.67,2.83"
1757276431.965520859,"1.93,1.13"
1757276432.058076859,"0.67,2.83"
1757276432.158858299,"2.83,0.67"
1757276432.258198977,"0.67,2.83"
1757276432.364816427,"1.39,1.93"
1757276432.459142923,"0.67,2.83"
1757276432.559624195,"2.83,0.67"
1757276432.665566444,"1.03,1.93"
1757276432.761916876,"0.69,2.04"
1757276432.859496593,"0.67,2.83"
1757276432.961287737,"0.67,1.96"
1757276433.063829422,"0.69,2.06"
1757276433.160975218,"0.68,1.98"
1757276433.258614302,"0.67,2.83"
1757276433.359459162,"0.67,2.83"
1757276433.457445383,"0.67,2.83"
1757276433.558071852,"0.67,2.83"
1757276433.664103985,"1.51,1.93"
1757276433.758723259,"0.67,2.83"
1757276433.856585026,"0.67,2.83"
1757276433.958497286,"0.67,2.83"
1757276434.064297915,"1.93,1.72"
1757276434.159276485,"0.67,2.83"
1757276434.259540319,"0.67,2.83"
1757276434.359983683,"2.11,0.68"
1757276434.463437796,"1.93,1.31"
1757276434.559696674,"1.92,1.70"
1757276434.658625364,"0.67,2.83"
1757276434.762490273,"1.56,1.93"
1757276434.860235691,"0.67,2.83"
1757276434.957789898,"0.67,2.83"
1757276435.058220625,"0.67,2.83"
1757276435.158161163,"0.67,2.83"
1757276435.257391930,"0.67,2.83"
1757276435.363647223,"1.52,1.93"
1757276435.459070921,"0.67,2.83"
1757276435.556774139,"0.67,2.83"
1757276435.658540010,"0.67,2.83"
1757276435.755066872,"0.67,2.83"
1757276435.857404947,"0.67,2.83"
1757276435.957877159,"0.67,2.83"
1757276436.057316303,"0.67,2.83"
1757276436.160591841,"0.67,2.83"
1757276436.256852388,"0.67,2.83"
1757276436.361514091,"1.74,1.93"
1757276436.460573435,"2.83,0.67"
1757276436.556552887,"0.67,2.83"
1757276436.655537367,"0.67,2.83"
1757276436.759280443,"2.00,0.00"
1757276436.857466936,"2.00,0.00"
1757276436.953229427,"2.00,0.00"
1757276437.056424618,"2.00,0.00"
1757276437.155073643,"0.67,2.83"
1757276437.259959459,"0.67,2.55"
1757276437.354248524,"0.67,2.83"
1757276437.454132080,"0.67,2.83"
1757276437.553733110,"0.67,2.83"
1757276437.657762766,"2.00,0.00"
1757276437.754553556,"2.00,0.00"
1757276437.856514215,"2.00,0.00"
