ros_time_s,Lecturas_Validas
1757276513.731816769,7.000000
1757276513.834017515,5.000000
1757276513.935705662,7.000000
1757276514.032036304,6.000000
1757276514.134239435,6.000000
1757276514.235663414,7.000000
1757276514.335252523,7.000000
1757276514.434048414,8.000000
1757276514.533876657,6.000000
1757276514.635149479,6.000000
1757276514.733924389,6.000000
1757276514.834454536,11.000000
1757276514.931547642,7.000000
1757276515.033993244,6.000000
1757276515.133517981,8.000000
1757276515.234165907,6.000000
1757276515.332958221,5.000000
1757276515.435366154,6.000000
1757276515.531861782,8.000000
1757276515.634560347,9.000000
1757276515.733571291,5.000000
1757276515.835798025,7.000000
1757276515.931793451,8.000000
1757276516.033979416,6.000000
1757276516.132405281,6.000000
1757276516.234217167,7.000000
1757276516.331125021,8.000000
1757276516.433143616,5.000000
1757276516.533269405,8.000000
1757276516.632190228,8.000000
1757276516.734463930,7.000000
1757276516.833974123,4.000000
1757276516.933516026,9.000000
1757276517.029056311,9.000000
1757276517.131077528,6.000000
1757276517.234856367,8.000000
1757276517.331971169,8.000000
1757276517.430737972,7.000000
1757276517.534180164,7.000000
1757276517.632638216,7.000000
1757276517.730099201,9.000000
1757276517.834095478,7.000000
1757276517.932272911,6.000000
1757276518.032970905,7.000000
1757276518.131347656,8.000000
1757276518.230795622,4.000000
1757276518.331849813,6.000000
1757276518.431855202,9.000000
1757276518.528478384,7.000000
1757276518.632368803,4.000000
1757276518.730067968,7.000000
1757276518.829882383,8.000000
1757276518.932507992,7.000000
1757276519.032241583,8.000000
1757276519.131325006,6.000000
1757276519.231517553,8.000000
1757276519.332079649,4.000000
1757276519.432875633,7.000000
1757276519.532074690,6.000000
1757276519.631570339,6.000000
1757276519.731167793,6.000000
1757276519.830988407,8.000000
1757276519.932394028,6.000000
1757276520.032216072,8.000000
1757276520.133324623,6.000000
1757276520.230577469,6.000000
1757276520.332954407,6.000000
1757276520.430695772,6.000000
1757276520.530129910,6.000000
1757276520.632256985,6.000000
1757276520.729961157,6.000000
1757276520.829666853,7.000000
1757276520.928692341,6.000000
1757276521.031380653,6.000000
1757276521.130030155,6.000000
1757276521.229926109,6.000000
1757276521.330172062,7.000000
1757276521.430694818,6.000000
1757276521.528721333,6.000000
1757276521.629811049,6.000000
1757276521.731699467,6.000000
1757276521.828460693,5.000000
1757276521.930059433,5.000000
1757276522.031271458,8.000000
1757276522.129901886,9.000000
1757276522.229032040,8.000000
1757276522.328246355,5.000000
1757276522.428946257,5.000000
1757276522.530575275,8.000000
1757276522.630376339,7.000000
1757276522.730079174,9.000000
1757276522.831286430,8.000000
1757276522.929215908,7.000000
1757276523.028246880,6.000000
1757276523.129580021,7.000000
1757276523.228979111,7.000000
1757276523.328243017,6.000000
1757276523.428807974,5.000000
1757276523.528351545,8.000000
1757276523.628649950,5.000000
1757276523.730668545,6.000000
1757276523.830692291,4.000000
1757276523.941354513,7.000000
1757276524.032985449,4.000000
1757276524.131899118,9.000000
1757276524.232533693,7.000000
1757276524.329230547,7.000000
1757276524.430689096,6.000000
1757276524.528908253,6.000000
1757276524.630291462,8.000000
1757276524.728950500,6.000000
1757276524.829772234,6.000000
1757276524.931345224,5.000000
1757276525.029287100,10.000000
1757276525.128886461,6.000000
1757276525.229845047,5.000000
1757276525.328902721,7.000000
1757276525.429807663,9.000000
1757276525.529827595,7.000000
1757276525.629415274,6.000000
1757276525.728950739,6.000000
1757276525.830233335,6.000000
1757276525.930696487,8.000000
1757276526.033996344,8.000000
1757276526.130929470,6.000000
1757276526.230836630,5.000000
1757276526.331435680,7.000000
1757276526.431172848,6.000000
1757276526.530815601,7.000000
1757276526.633310795,4.000000
1757276526.731485605,7.000000
1757276526.832100868,8.000000
1757276526.930576563,7.000000
1757276527.032654762,6.000000
1757276527.129928350,6.000000
1757276527.231081009,8.000000
1757276527.331185102,4.000000
1757276527.430974483,8.000000
1757276527.530661106,6.000000
1757276527.631557703,6.000000
1757276527.733407974,7.000000
1757276527.834307671,7.000000
1757276527.933056116,8.000000
1757276528.030754089,5.000000
1757276528.131307364,10.000000
1757276528.231997252,5.000000
1757276528.331643343,7.000000
1757276528.431384087,7.000000
1757276528.530326605,6.000000
1757276528.635314941,6.000000
1757276528.733320713,9.000000
1757276528.832157612,6.000000
1757276528.931170702,6.000000
1757276529.031874418,8.000000
1757276529.134207726,7.000000
1757276529.231894016,6.000000
1757276529.333240747,4.000000
1757276529.432162285,7.000000
1757276529.532437325,8.000000
1757276529.634197474,6.000000
1757276529.734256744,8.000000
1757276529.832490683,6.000000
1757276529.936708212,6.000000
1757276530.035886526,7.000000
1757276530.133445263,5.000000
1757276530.234587431,6.000000
1757276530.336052656,6.000000
1757276530.433339596,6.000000
1757276530.529999018,7.000000
1757276530.634246349,7.000000
1757276530.731388330,6.000000
1757276530.832560301,6.000000
1757276530.933323145,6.000000
1757276531.034857988,6.000000
1757276531.134619713,7.000000
1757276531.233309984,5.000000
1757276531.336443424,8.000000
1757276531.434731483,7.000000
1757276531.531109095,7.000000
1757276531.634373903,7.000000
1757276531.733509541,5.000000
1757276531.834356070,5.000000
1757276531.934172392,7.000000
1757276532.036204100,6.000000
1757276532.135401964,6.000000
1757276532.234424591,5.000000
1757276532.334690332,6.000000
1757276532.435115814,8.000000
1757276532.534412384,5.000000
1757276532.634208441,7.000000
1757276532.734335423,6.000000
1757276532.836140871,7.000000
1757276532.934973955,8.000000
1757276533.035745382,8.000000
1757276533.135889769,5.000000
1757276533.238644123,6.000000
1757276533.334343910,6.000000
1757276533.433720827,6.000000
1757276533.533111572,5.000000
1757276533.636233330,6.000000
1757276533.733062983,6.000000
1757276533.834878683,6.000000
1757276533.934276104,6.000000
1757276534.034937620,6.000000
1757276534.133942127,10.000000
1757276534.234130621,6.000000
1757276534.334172010,7.000000
1757276534.435552835,5.000000
1757276534.534951448,7.000000
1757276534.636772156,5.000000
1757276534.733525515,5.000000
1757276534.835933924,7.000000
1757276534.934844732,6.000000
1757276535.034271717,5.000000
1757276535.134158850,8.000000
1757276535.236305475,6.000000
1757276535.336050510,5.000000
1757276535.434084892,7.000000
1757276535.535701990,5.000000
1757276535.634130001,8.000000
1757276535.735526562,7.000000
1757276535.833546400,4.000000
1757276535.933506727,6.000000
1757276536.034147024,6.000000
1757276536.135126591,7.000000
1757276536.234909296,5.000000
1757276536.334408283,7.000000
1757276536.436054945,6.000000
1757276536.535856962,6.000000
1757276536.634279966,6.000000
1757276536.734170198,8.000000
1757276536.835878372,7.000000
1757276536.936637163,6.000000
1757276537.037545204,5.000000
1757276537.134193897,6.000000
1757276537.234792471,8.000000
1757276537.333551407,5.000000
1757276537.434036732,8.000000
1757276537.532284975,8.000000
1757276537.634785175,7.000000
1757276537.734090805,7.000000
1757276537.834274530,6.000000
1757276537.934931993,7.000000
1757276538.033561230,5.000000
1757276538.134972811,5.000000
1757276538.234995127,9.000000
1757276538.332279921,5.000000
1757276538.435277462,6.000000
1757276538.533778906,7.000000
1757276538.634795189,7.000000
1757276538.733428478,8.000000
1757276538.835800409,6.000000
1757276538.933058977,6.000000
1757276539.033768415,6.000000
1757276539.135643244,9.000000
1757276539.234885454,6.000000
1757276539.333210945,6.000000
1757276539.434078455,5.000000
1757276539.533190727,7.000000
1757276539.634784698,7.000000
1757276539.734356880,7.000000
1757276539.834089041,8.000000
1757276539.933907509,4.000000
1757276540.034235716,8.000000
1757276540.135010719,9.000000
1757276540.234112501,6.000000
1757276540.334049225,6.000000
1757276540.435078621,7.000000
1757276540.532932758,7.000000
1757276540.632916927,8.000000
1757276540.733591557,6.000000
1757276540.833179235,6.000000
1757276540.930337429,5.000000
1757276541.032822132,7.000000
1757276541.133766174,5.000000
1757276541.234448195,7.000000
1757276541.333573103,7.000000
1757276541.432877302,6.000000
1757276541.533243895,8.000000
1757276541.632455349,7.000000
1757276541.731956720,6.000000
1757276541.835465431,6.000000
1757276541.933383942,7.000000
1757276542.031294346,8.000000
1757276542.134232998,8.000000
1757276542.232922792,8.000000
1757276542.333962440,6.000000
1757276542.433770418,7.000000
1757276542.532053232,6.000000
1757276542.632315159,8.000000
1757276542.734157324,8.000000
1757276542.831365108,9.000000
1757276542.931189299,6.000000
1757276543.035432339,7.000000
1757276543.131008625,6.000000
1757276543.233319759,6.000000
1757276543.330882072,7.000000
1757276543.432787418,6.000000
1757276543.533581018,8.000000
1757276543.631586313,10.000000
1757276543.732054710,7.000000
1757276543.832462788,8.000000
1757276543.933385134,7.000000
1757276544.034343481,8.000000
1757276544.132409811,6.000000
1757276544.230916500,8.000000
1757276544.331213474,6.000000
1757276544.431944370,8.000000
1757276544.533870935,5.000000
1757276544.632221460,9.000000
1757276544.731207371,7.000000
1757276544.832015514,9.000000
1757276544.931871891,8.000000
1757276545.031493425,8.000000
1757276545.130275488,6.000000
1757276545.230851412,6.000000
1757276545.331440926,8.000000
1757276545.432657719,6.000000
1757276545.533278704,8.000000
1757276545.632591248,6.000000
1757276545.731508970,6.000000
1757276545.831022501,6.000000
1757276545.930281878,6.000000
1757276546.031785727,7.000000
1757276546.130076170,7.000000
1757276546.230927467,7.000000
1757276546.332431555,9.000000
1757276546.430936098,5.000000
1757276546.532066584,8.000000
1757276546.632024765,6.000000
1757276546.731898069,8.000000
1757276546.831294537,10.000000
1757276546.931217432,6.000000
1757276547.033107519,9.000000
1757276547.131427050,5.000000
1757276547.229979277,9.000000
1757276547.330570459,8.000000
1757276547.428363085,8.000000
1757276547.530714035,7.000000
1757276547.628973961,4.000000
1757276547.728987455,8.000000
1757276547.828696012,7.000000
1757276547.930512905,8.000000
1757276548.030535698,6.000000
1757276548.128403902,8.000000
1757276548.228443146,8.000000
1757276548.329396725,7.000000
1757276548.429538250,7.000000
1757276548.530646801,7.000000
1757276548.631277561,6.000000
1757276548.728570223,6.000000
1757276548.829399586,7.000000
1757276548.928529263,6.000000
1757276549.028307199,6.000000
1757276549.128230810,6.000000
1757276549.228312969,6.000000
1757276549.329643011,8.000000
1757276549.428370953,7.000000
1757276549.528531551,9.000000
1757276549.630164623,8.000000
1757276549.728579998,6.000000
1757276549.829417944,6.000000
1757276549.928977728,8.000000
1757276550.030061722,9.000000
1757276550.128419399,10.000000
1757276550.229169130,7.000000
1757276550.329492331,8.000000
1757276550.430216789,8.000000
1757276550.530248165,8.000000
1757276550.630048752,7.000000
1757276550.730327368,9.000000
1757276550.829314470,7.000000
1757276550.929442883,6.000000
1757276551.030073404,8.000000
1757276551.129127026,7.000000
1757276551.229827642,7.000000
1757276551.331039190,9.000000
1757276551.428490162,6.000000
1757276551.530070305,7.000000
1757276551.631426096,7.000000
1757276551.729127169,6.000000
1757276551.828907728,7.000000
1757276551.930005074,6.000000
1757276552.030684710,6.000000
1757276552.132833481,5.000000
1757276552.230767727,7.000000
1757276552.330715895,7.000000
1757276552.430931568,7.000000
1757276552.531233788,10.000000
1757276552.630681515,5.000000
1757276552.730748653,9.000000
1757276552.833661556,5.000000
1757276552.931146860,8.000000
1757276553.029781342,9.000000
1757276553.131515980,6.000000
1757276553.234008551,9.000000
1757276553.330026150,8.000000
1757276553.431439161,8.000000
1757276553.530156851,9.000000
1757276553.630959272,5.000000
1757276553.730165720,9.000000
1757276553.833037615,8.000000
1757276553.932224989,8.000000
1757276554.032017946,8.000000
1757276554.132828712,9.000000
1757276554.231222868,10.000000
1757276554.330894947,8.000000
1757276554.430273771,9.000000
1757276554.530456781,8.000000
1757276554.631044626,7.000000
1757276554.735295534,10.000000
1757276554.833266735,10.000000
1757276554.931142330,10.000000
1757276555.033097267,7.000000
1757276555.133951426,10.000000
1757276555.232528925,10.000000
1757276555.333807945,9.000000
1757276555.430891037,7.000000
1757276555.531966925,7.000000
1757276555.632820129,8.000000
1757276555.733324528,8.000000
1757276555.834589720,5.000000
1757276555.934792042,10.000000
1757276556.031569004,7.000000
1757276556.133193016,6.000000
1757276556.230675697,9.000000
1757276556.333048344,7.000000
1757276556.432678699,8.000000
1757276556.532129288,6.000000
1757276556.633279085,8.000000
1757276556.733097792,9.000000
1757276556.834704161,9.000000
1757276556.933904648,7.000000
1757276557.033015728,5.000000
1757276557.133529902,7.000000
1757276557.235591173,8.000000
1757276557.335320234,10.000000
1757276557.433310986,8.000000
1757276557.534993649,7.000000
1757276557.635522842,10.000000
1757276557.733663797,7.000000
1757276557.834348917,8.000000
1757276557.933226585,8.000000
1757276558.034443855,7.000000
1757276558.134555340,8.000000
1757276558.230765820,7.000000
1757276558.335377216,5.000000
1757276558.434722900,6.000000
1757276558.533468723,5.000000
1757276558.634732723,7.000000
1757276558.732901096,7.000000
1757276558.834707975,7.000000
1757276558.934360504,7.000000
1757276559.035245895,7.000000
1757276559.133214951,6.000000
