ros_time_s,Error_Distancia
1758473365.666595221,-0.037420
1758473365.964735746,-0.030276
1758473366.066575289,-0.040293
1758473366.163948059,-0.170631
1758473366.763921738,-0.049323
1758473366.867228985,-0.040451
1758473366.963961124,-0.047888
1758473367.366401434,-0.034925
1758473367.463631392,-0.184358
1758473369.366891146,-0.057686
1758473369.563054562,-0.066205
1758473369.665444613,-0.067933
1758473371.146123409,0.473446
1758473371.746833563,0.426544
1758473371.846632481,0.411756
1758473371.946885109,0.432987
1758473372.145425081,0.404405
1758473372.247316837,0.449845
1758473373.164596558,-0.059697
1758473373.266415596,0.110557
1758473373.365553379,-0.068527
1758473373.566167593,-0.071303
1758473373.666025639,-0.063781
1758473373.764390230,-0.058596
1758473373.966543674,-0.059970
1758473374.065130949,-0.047196
1758473374.164779186,-0.056471
1758473374.266498566,-0.057693
1758473374.367675066,-0.060297
1758473374.465795994,-0.060823
1758473374.566570759,-0.052991
1758473374.667934179,-0.059430
1758473374.768746853,-0.066490
1758473374.866918564,-0.065231
1758473374.964482307,-0.058982
1758473375.068529367,-0.062596
1758473375.169656038,-0.061543
1758473375.268676281,-0.055839
1758473375.366537333,-0.052346
1758473375.467738152,-0.057310
1758473375.567773104,-0.057895
1758473375.667941570,-0.047297
1758473375.767099380,-0.062750
1758473375.866374731,-0.059405
1758473375.966327906,-0.069505
1758473376.067924976,-0.057463
1758473376.167946577,-0.065516
1758473376.267495871,-0.063107
1758473376.369042635,-0.062468
1758473376.466245651,-0.059920
1758473376.567640305,-0.069084
1758473376.668974400,-0.069703
1758473376.768227100,-0.059094
1758473376.868141651,-0.225080
1758473376.965814114,-0.068373
1758473377.067812920,-0.150678
1758473377.170583487,-0.065135
1758473377.268551826,-0.062802
1758473377.367764235,-0.071200
1758473377.465500593,-0.074283
1758473377.667956829,-0.071474
1758473377.870274067,-0.075042
1758473377.969497681,-0.072298
1758473378.168014526,-0.072667
1758473378.368812084,-0.069976
1758473378.470022440,-0.071441
1758473378.767769098,-0.073916
1758473379.069301367,-0.263074
1758473379.169791937,-0.261890
1758473379.470966578,-0.251222
1758473379.570246935,-0.181525
1758473379.671237707,-0.180250
1758473379.768409252,0.054137
1758473379.868976116,0.010911
1758473379.969599724,-0.249568
1758473380.070780516,-0.153909
1758473380.170112610,0.363365
1758473380.270498037,0.039158
1758473380.371347427,-0.180381
1758473380.471796513,-0.269075
1758473380.570315599,-0.153503
1758473380.669957876,-0.253035
1758473380.768754005,-0.104118
1758473380.870063066,-0.285882
1758473381.071263313,-0.284639
1758473381.172113419,-0.110451
1758473381.270293951,-0.285912
1758473381.470134735,-0.280393
1758473381.572569609,0.009050
1758473381.672861814,-0.297908
1758473381.768663406,0.010619
1758473381.865331888,-0.289789
1758473381.972194910,0.053962
1758473382.071769238,-0.147067
1758473382.176176548,0.005076
1758473382.270631313,-0.191375
1758473382.369876146,-0.040054
1758473382.469803572,-0.192632
1758473382.570665836,-0.186652
1758473382.672613144,-0.183002
1758473382.869062662,-0.128687
1758473382.971609831,-0.283832
1758473383.070424318,-0.176044
1758473383.171688080,-0.141093
1758473383.270592451,-0.149526
1758473383.370925903,-0.206401
1758473383.472365379,-0.136286
1758473383.570650578,-0.142767
1758473383.670204639,-0.145488
1758473383.770481348,-0.179269
1758473383.869657516,0.022980
1758473383.971846342,-0.187089
1758473384.070836544,-0.197384
1758473384.173733711,-0.148889
1758473384.272049189,0.031454
1758473384.371435404,-0.205620
1758473384.473063469,-0.022968
1758473384.567120314,-0.061734
1758473384.671190500,-0.152537
1758473384.767665148,-0.026796
1758473384.871771812,-0.159516
1758473384.971442461,-0.042350
1758473385.071175575,-0.168209
1758473385.171576262,-0.154379
1758473385.270456791,-0.024981
1758473385.370544910,-0.197078
1758473385.471042871,-0.154772
1758473385.567724466,-0.168362
1758473385.672753334,-0.200766
1758473385.769636631,-0.155842
1758473385.871021509,-0.218944
1758473385.970822334,-0.129020
1758473386.066757202,-0.141643
1758473386.171390057,-0.234316
1758473386.271040201,-0.087541
1758473386.370735407,-0.168400
1758473386.469597578,0.052917
1758473386.571193457,-0.160648
1758473386.670505047,-0.021075
1758473386.769997835,-0.099591
1758473386.870753765,-0.148436
1758473386.970454454,-0.105306
1758473387.067454815,-0.013199
1758473387.171793461,-0.162906
1758473387.270593882,0.041966
1758473387.371638775,-0.071300
1758473387.470661163,-0.206565
1758473387.573484659,-0.129790
1758473387.670898676,-0.038274
1758473387.772186518,-0.097450
1758473387.864567280,-0.123069
1758473387.970616341,-0.058832
1758473388.076678753,-0.074792
1758473388.171632528,-0.077016
1758473388.270315886,-0.168620
1758473388.370478630,-0.083626
1758473388.471278906,-0.161784
1758473388.571871758,-0.166875
1758473388.666875839,-0.121358
