ros_time_s,Lecturas_Validas
1758473411.744429827,6.000000
1758473411.845245838,5.000000
1758473411.944602251,8.000000
1758473412.044058800,3.000000
1758473412.343748093,2.000000
1758473412.445186138,4.000000
1758473412.544932604,1.000000
1758473412.645494461,2.000000
1758473412.746683121,1.000000
1758473412.844242096,1.000000
1758473412.944178343,8.000000
1758473413.044978142,7.000000
1758473413.144448280,10.000000
1758473413.245102406,8.000000
1758473413.346327305,8.000000
1758473413.444023848,8.000000
1758473413.546688557,8.000000
1758473413.647268295,9.000000
1758473413.746901274,7.000000
1758473413.848587990,8.000000
1758473413.945571423,5.000000
1758473414.044474840,7.000000
1758473414.146101475,7.000000
1758473414.244832039,5.000000
1758473414.346500158,8.000000
1758473414.447425365,5.000000
1758473414.545399666,8.000000
1758473414.647833347,8.000000
1758473414.745512724,8.000000
1758473414.848926783,11.000000
1758473414.947235107,11.000000
1758473415.046894550,10.000000
1758473415.145295143,9.000000
1758473415.246233702,13.000000
1758473415.347582817,7.000000
1758473415.447617054,11.000000
1758473415.547119141,10.000000
1758473415.645730734,10.000000
1758473415.747563601,9.000000
1758473415.845373631,9.000000
1758473415.945693970,9.000000
1758473416.045925617,10.000000
1758473416.145989895,11.000000
1758473416.247585773,8.000000
1758473416.346595287,13.000000
1758473416.447430611,12.000000
1758473416.546392918,8.000000
1758473416.648000956,8.000000
1758473416.745273590,8.000000
1758473416.846282959,8.000000
1758473416.946372271,9.000000
1758473417.045109987,7.000000
1758473417.145843506,8.000000
1758473417.248130083,8.000000
1758473417.346761942,7.000000
1758473417.449476719,8.000000
1758473417.545759439,8.000000
1758473417.647701502,9.000000
1758473417.746884108,8.000000
1758473417.848087788,7.000000
1758473417.947272539,7.000000
1758473418.045590639,8.000000
1758473418.147665501,9.000000
1758473418.247463942,8.000000
1758473418.348250389,6.000000
1758473418.447478056,7.000000
1758473418.548195601,6.000000
1758473418.646855116,9.000000
1758473418.747807741,9.000000
1758473418.846246719,9.000000
1758473418.947694778,7.000000
1758473419.046864033,9.000000
1758473419.147391319,9.000000
1758473419.248697042,6.000000
1758473419.346654654,10.000000
1758473419.446027040,8.000000
1758473419.547615767,8.000000
1758473419.646938324,3.000000
1758473419.747713089,7.000000
1758473419.846932888,9.000000
1758473419.948756456,8.000000
1758473420.046806812,8.000000
1758473420.149721384,9.000000
1758473420.247271776,9.000000
1758473420.347527266,7.000000
1758473420.451175690,10.000000
1758473420.549306393,8.000000
1758473420.648742199,8.000000
1758473420.749961138,8.000000
1758473420.847548723,9.000000
1758473420.947933435,9.000000
1758473421.050191879,8.000000
1758473421.147693872,8.000000
1758473421.250867128,8.000000
1758473421.346603870,7.000000
1758473421.448628664,9.000000
1758473421.548842192,7.000000
1758473421.649187803,8.000000
1758473421.751226902,8.000000
1758473421.846024275,8.000000
1758473421.949888229,8.000000
1758473422.050129414,9.000000
1758473422.149893045,8.000000
1758473422.249571562,7.000000
1758473422.344957113,9.000000
1758473422.448421717,7.000000
1758473422.549782753,7.000000
1758473422.648743629,9.000000
1758473422.750046492,8.000000
1758473422.848416805,9.000000
1758473422.949746132,9.000000
1758473423.048009634,9.000000
1758473423.150923014,8.000000
1758473423.249615669,8.000000
1758473423.345147610,9.000000
1758473423.449048758,8.000000
1758473423.549084425,1.000000
1758473423.649004698,9.000000
1758473423.748970985,2.000000
1758473423.844398022,8.000000
1758473423.949425936,7.000000
1758473424.048945427,7.000000
1758473424.147843122,7.000000
1758473424.248390913,7.000000
1758473424.350053787,7.000000
1758473424.449334860,7.000000
1758473424.549329758,7.000000
1758473424.649874210,8.000000
1758473424.749846697,7.000000
1758473424.849500418,8.000000
1758473424.950453520,8.000000
1758473425.047948837,7.000000
1758473425.150300980,7.000000
1758473425.249542713,4.000000
1758473425.349263668,8.000000
1758473425.444212437,1.000000
1758473425.548660040,3.000000
1758473425.648287773,8.000000
1758473425.749509811,4.000000
1758473425.849428654,4.000000
1758473425.949704885,3.000000
1758473426.049754620,6.000000
1758473426.149592400,3.000000
1758473426.249577045,8.000000
1758473426.352720022,4.000000
1758473426.448775768,7.000000
1758473426.548810005,5.000000
1758473426.650583982,12.000000
1758473426.748940229,7.000000
1758473426.850132227,10.000000
1758473426.948873281,12.000000
1758473427.050447702,7.000000
1758473427.149849415,12.000000
1758473427.249594688,10.000000
1758473427.346237898,6.000000
1758473427.449422836,10.000000
1758473427.550246000,11.000000
1758473427.649961948,9.000000
1758473427.749667883,8.000000
1758473427.849795580,12.000000
1758473427.950959921,9.000000
1758473428.050696135,11.000000
1758473428.149292231,9.000000
1758473428.249664068,12.000000
1758473428.350473881,14.000000
1758473428.448456526,14.000000
1758473428.549606800,11.000000
1758473428.649914265,10.000000
1758473428.748788595,10.000000
1758473428.850443840,9.000000
1758473428.951886177,10.000000
1758473429.045342207,8.000000
1758473429.148537397,8.000000
1758473429.248466492,9.000000
1758473429.351838350,9.000000
